text,value
Improbable,10
Improbable,4
Improbable,12
Improbable,0
Improbable,20
Improbable,20
Improbable,15
Improbable,35
Improbable,5
Improbable,5
Improbable,20
Unlikely,30
Unlikely,25
Unlikely,25
Unlikely,25
Unlikely,5
Unlikely,8
Unlikely,20
Unlikely,15
Unlikely,35
Unlikely,30
Unlikely,15
Unlikely,10
Unlikely,30
Unlikely,20
Unlikely,10
Unlikely,30
Unlikely,15
Unlikely,15
Unlikely,10
Unlikely,25
Unlikely,10
Unlikely,10
Unlikely,2
Unlikely,18
Unlikely,35
Unlikely,25
Unlikely,20
Unlikely,10
Unlikely,25
Unlikely,36
Unlikely,12
Unlikely,3
Unlikely,10
Unlikely,24
Unlikely,5
Unlikely,25
Unlikely,30
Unlikely,34
Unlikely,20
Unlikely,35
Unlikely,10
Unlikely,35
Unlikely,20
Unlikely,10
Unlikely,20
Unlikely,35
Probably Not,15
Probably Not,49
Probably Not,25
Probably Not,25
Probably Not,20
Probably Not,15
Probably Not,40
Probably Not,25
Probably Not,35
Probably Not,45
Probably Not,40
Probably Not,25
Probably Not,30
Probably Not,40
Probably Not,100
Probably Not,40
Probably Not,10
Probably Not,30
Probably Not,20
Probably Not,50
Probably Not,25
Probably Not,10
Probably Not,10
Probably Not,27
Probably Not,30
Probably Not,25
Probably Not,40
Probably Not,25
Probably Not,20
Probably Not,34
Probably Not,35
Probably Not,20
Probably Not,10
Probably Not,30
Probably Not,20
Probably Not,20
Probably Not,30
Probably Not,26
Probably Not,30
Probably Not,15
Probably Not,40
Probably Not,30
Probably Not,25
Probably Not,20
Probably Not,40
Probably Not,40
Almost No Chance,5
Almost No Chance,5
Almost No Chance,1
Almost No Chance,1
Almost No Chance,1
Almost No Chance,1
Almost No Chance,10
Almost No Chance,3
Almost No Chance,5
Almost No Chance,10
Almost No Chance,15
Almost No Chance,2
Almost No Chance,5
Almost No Chance,2
Almost No Chance,95
Almost No Chance,1
Almost No Chance,2
Almost No Chance,1
Almost No Chance,5
Almost No Chance,5
Almost No Chance,5
Almost No Chance,3
Almost No Chance,5
Almost No Chance,2
Almost No Chance,2
Almost No Chance,2
Almost No Chance,5
Almost No Chance,2
Almost No Chance,1
Almost No Chance,7
Almost No Chance,1
Almost No Chance,10
Almost No Chance,0
Almost No Chance,5
Almost No Chance,2
Almost No Chance,2
Almost No Chance,1
Almost No Chance,7
Almost No Chance,1
Almost No Chance,5
Almost No Chance,1
Almost No Chance,5
Almost No Chance,2
Almost No Chance,1
Almost No Chance,2
Almost No Chance,5
